"Latest: Time (s)","Latest: Temperature (°C)"
0,25.4699039856
5,25.4307748988
10,25.3887467733
15,25.3452686902
20,25.3003404972
25,25.2641074049
30,25.201784933
35,25.1336625466
40,25.0553907124
45,24.9524712335
50,24.8350458248
55,24.7176080724
60,24.5798546772
65,24.4304766383
70,24.2549572206
75,24.0692355465
80,23.8820067519
85,23.6874547061
90,23.4724895197
95,23.2690519747
100,23.0553372585
105,22.8036720395
110,22.5853221799
115,22.3595432522
120,22.1438076833
125,21.9249939968
130,21.694321835
135,21.4722159178
140,21.2528357848
145,21.027391248
150,20.8149134838
155,20.6154314378
160,20.4054719613
165,20.1864640915
170,19.9760362795
175,19.7240849325
180,19.5190141677
185,19.3107371588
190,19.1184725733
195,18.9185652197
200,18.7258153097
205,18.5313302553
210,18.3425343761
215,18.1505065919
220,17.9671605398
225,17.7835638734
230,17.6012056708
235,17.4260772038
240,17.243203762
245,17.0720754428
250,16.9052161735
255,16.6944252239
260,16.5375879505
265,16.3790217318
270,16.2141752598
275,16.0581740176
280,15.895874173
285,15.750046943
290,15.6040150701
295,15.4577749212
300,15.3036892398
305,15.1677128944
310,15.0223615537
315,14.8936585435
320,14.7494281375
325,14.6126662742
330,14.4926424952
335,14.3570431933
340,14.2320516455
345,14.1068864798
350,13.9877391418
355,13.8715316188
360,13.7054736931
365,13.5779974672
370,13.4705829737
375,13.3489930383
380,13.2428471091
385,13.127180616
390,13.0223148237
395,12.9251543691
400,12.8200268144
405,12.7210495424
410,12.6172266967
415,12.5179954016
420,12.4312619379
425,12.3286337794
430,12.236942486
435,12.1419737739
440,12.05640045
445,11.962792747
450,11.8881403031
455,11.8054590022
460,11.7163144225
465,11.6318460481
470,11.5520695475
475,11.4817939081
480,11.4018524221
485,11.3202206623
490,11.2513215848
495,11.1791465487
500,11.1101106446
505,11.0297513692
510,10.968616797
515,10.8945402009
520,10.8268361222
525,10.7671371873
530,10.6960765332
535,10.6443498454
540,10.5796364308
545,10.5018990823
550,10.4110926432
555,10.3640197802
560,10.2957867176
565,10.2470061682
570,10.17865334
575,10.1281572588
580,10.0841453718
585,10.0303131409
590,9.97970327631
595,9.91761198006
600,9.87182267541
605,9.82927516336
610,9.77359396821
615,9.7326213101
620,9.67685667596
625,9.64074788689
630,9.59147582786
635,9.55203082397
640,9.49939949176
645,9.45989738026
650,9.42531283511
655,9.37917067448
660,9.33134497546
665,9.2950391459
670,9.25540881904
675,9.2223643776
680,9.18930245261
685,9.14464102533
690,9.11650441036
695,9.07013392636
700,9.03864845641
705,9.01046364319
710,8.97728854385
715,8.93579451238
720,8.90424029255
725,8.87765571561
730,8.84108305395
735,8.8028245659
740,8.78618294835
745,8.75621656413
750,8.72123709277
755,8.69623939914
760,8.6662285366
765,8.63787125618
770,8.61283905573
775,8.58779645159
780,8.56441394685
785,8.5360086654
790,8.50591781616
795,8.47915769513
800,8.46242653624
805,8.43229863157
810,8.40718041122
815,8.39210439185
820,8.37367295532
825,8.35020649121
830,8.32673074381
835,8.29485591672
840,8.28142979859
845,8.26464286091
850,8.23441433897
855,8.21257298599
860,8.19072352743
865,8.17391072583
870,8.15877508938
875,8.14363554892
880,8.12344341278
885,8.09650973134
890,8.07630132873
895,8.0560859334
900,8.04934591213
