"Latest: Time (s)","Latest: Temperature (°C)"
0,27.0541198435
5,27.0367178811
10,27.0236666331
15,26.9729135635
20,26.9366630608
25,26.8699656549
30,26.8134212577
35,26.7525305845
40,26.6829451677
45,26.6119140663
50,26.545235207
55,26.4626155566
60,26.3800000216
65,26.2901415807
70,26.1959390011
75,26.0973920098
80,25.9901526353
85,25.8119071968
90,25.6945265014
95,25.5771444172
100,25.4670055516
105,25.3452686902
110,25.2220761963
115,25.0916281719
120,24.9655178045
125,24.8335960544
130,24.7132582694
135,24.5726039246
140,24.4391790197
145,24.3129848129
150,24.1780631865
155,24.0344067354
160,23.9066837589
165,23.7702206141
170,23.6293653554
175,23.501544518
180,23.3518914551
185,23.2268993907
190,23.0800583728
195,22.9549823981
200,22.7774772942
205,22.6450182898
210,22.5081381357
215,22.3697431769
220,22.2327444839
225,22.1044336054
230,21.9629338843
235,21.8388801573
240,21.7074667839
245,21.5701419569
250,21.4444387922
255,21.3113568492
260,21.1869820797
265,21.0508244928
270,20.9321682051
275,20.8105151861
280,20.6755895261
285,20.5552556687
290,20.4392565686
295,20.3099622051
300,20.1938174133
305,20.0687717165
310,19.9627845164
315,19.788948738
320,19.6768960918
325,19.5485359473
330,19.4392794231
335,19.3240393062
340,19.2161126231
345,19.1125530643
350,18.9911539107
355,18.8874452805
360,18.7762506142
365,18.6723946149
370,18.5625246254
375,18.4585172314
380,18.3648461225
385,18.2621828155
390,18.1609335206
395,18.0551378836
400,17.9611938952
405,17.8597201639
410,17.7686260947
415,17.6625186382
420,17.5787667798
425,17.478491459
430,17.388625045
435,17.2986939081
440,17.2101977306
445,17.121637425
450,17.0285041053
455,16.9352982181
460,16.8179347278
465,16.7351075305
470,16.6446828675
475,16.5541867286
480,16.4741883483
485,16.3865776034
490,16.3064591643
495,16.2368752239
500,16.1566475349
505,16.0718141759
510,15.9929804152
515,15.9140883675
520,15.8457689201
525,15.7698062799
530,15.6846623521
535,15.6131481261
540,15.5370144094
545,15.4745422867
550,15.3967791847
555,15.3281146669
560,15.2655125011
565,15.1952288373
570,15.1233654258
575,15.0652244848
580,14.9947967991
585,14.9227850143
590,14.8675905019
595,14.8016218624
600,14.7371430725
605,14.6803037946
610,14.6080528414
615,14.551135024
620,14.500340996
625,14.4341128485
630,14.3786292492
635,14.3231119089
640,14.2675606184
645,14.2088860815
650,14.1501732355
655,14.1022473673
660,14.0419168756
665,13.9939325643
670,13.9366267837
675,13.8947854486
680,13.8358637112
685,13.7737977145
690,13.6914916537
695,13.6402046979
700,13.5888870058
705,13.5422077436
710,13.5017316235
715,13.447213944
720,13.411368835
725,13.3552327091
730,13.3193482348
735,13.2678348138
740,13.2287882141
745,13.1756552485
750,13.138128999
755,13.1021502539
760,13.0551976907
765,13.0176161876
770,12.9721820302
775,12.9376977518
780,12.9031987601
785,12.8561308734
790,12.8231669432
795,12.7839064765
800,12.7446267047
805,12.7179053926
810,12.6738742154
815,12.6313923851
820,12.604632837
825,12.5573879072
830,12.5211475311
835,12.4975034628
840,12.4643897385
845,12.4344175743
850,12.394962901
855,12.3602261718
860,12.3223137488
865,12.3017700691
870,12.2685725348
875,12.236942486
880,12.2132113769
885,12.1768093609
890,12.1451413042
895,12.1197973655
900,12.0928601582
