"Latest: Time (s)","Latest: Temperature (°C)"
0,14.3123129345
0.5,14.3246545147
1,14.329282175
1.5,14.3308246761
2,14.3277396477
2.5,14.2937974162
3,14.261386148
3.5,14.3246545147
4,14.489562915
4.5,14.6480283515
5,14.8016218624
5.5,14.9963283805
6,15.1493646509
6.5,15.1447770537
7,15.0759372639
7.5,14.9166538611
8,14.7294640943
8.5,14.5865204671
9,14.5018806191
9.5,14.4356535799
10,14.4017515041
10.5,14.3817125547
11,14.380170915
11.5,14.380170915
12,14.3894203629
12.5,14.4063752534
13,14.4310313079
13.5,14.4741634704
14,14.5080388547
14.5,14.5634445337
15,14.6388047522
15.5,14.7417501593
16,14.8951917365
16.5,15.0238926988
17,15.1600682098
17.5,15.2991088053
18,15.4333810569
18.5,15.5598604809
19,15.6937882602
19.5,15.8442502067
20,15.991463812
20.5,16.1611903035
21,16.3034346905
21.5,16.4605980717
22,16.6220655663
22.5,16.7667394309
23,16.9398098646
23.5,17.1036172423
24,17.2312025979
24.5,17.3616525363
25,17.5024450073
25.5,17.6131714727
26,17.7641444289
26.5,17.9492598101
27,18.1400788731
27.5,18.346997007
28,18.5833171588
28.5,18.8251863326
29,19.0637086273
29.5,19.334384671
30,19.5839552853
30.5,19.8081084602
31,20.0864303121
31.5,20.2717451209
32,20.4407253334
32.5,20.5875473174
33,20.7137294963
33.5,20.8149134838
34,20.9394945187
34.5,21.0522889891
35,21.1855184514
35.5,21.3040425099
36,21.4298179859
36.5,21.561374026
37,21.7147692466
37.5,21.8534776452
38,22.0139986467
38.5,22.1890084162
39,22.3551717535
39.5,22.5328972588
40,22.7338150714
40.5,22.9564370051
41,23.1425813611
41.5,23.3257333359
42,23.4695839195
42.5,23.6148419595
43,23.7803839459
43.5,23.9066837589
44,24.0024785772
44.5,24.1127688212
45,24.2041791194
45.5,24.3216885463
46,24.4391790197
46.5,24.5406998968
47,24.6639591494
47.5,24.8103994692
48,24.9437734452
48.5,25.0974260842
49,25.2626580679
49.5,25.3930945406
50,25.5249737668
50.5,25.6698909203
51,25.7930683519
51.5,25.940881217
52,25.9814576521
52.5,25.9916018004
53,25.9742118422
53.5,25.9278388383
54,25.8249494752
54.5,25.809008913
55,25.8307460443
55.5,25.9423303715
56,26.0017459664
56.5,26.0713065148
57,26.2249240351
57.5,26.4118862645
58,26.5959688329
58.5,26.745281913
59,26.8714155514
59.5,27.0193162593
60,27.1338833315
60.5,27.2368622214
61,27.3238973953
61.5,27.4210990987
62,27.5038040067
62.5,27.6111911555
63,27.6997272009
63.5,27.7824698027
64,27.8826484177
64.5,27.9581578159
65,28.0336783644
65.5,28.1092104524
66,28.1847544692
66.5,28.2414205441
67,28.3082665827
67.5,28.3562275787
68,28.4027402878
68.5,28.4448968246
69,28.5103205754
69.5,28.5786632427
70,28.6542900766
70.5,28.7313864409
71,28.8419672607
71.5,28.9336583192
72,29.0064458692
72.5,29.0938111627
73,29.1666328429
73.5,29.2496691803
74,29.3370989798
74.5,29.4493362612
75,29.5382807769
75.5,29.6287106217
76,29.7177093463
76.5,29.7746247199
77,29.8446902782
77.5,29.9206147285
78,30.0024033342
78.5,30.1075971745
79,30.2581572415
79.5,30.404418508
80,30.5917617389
80.5,30.8305497179
81,31.0402487085
81.5,31.2574959277
82,31.4749720983
82.5,31.6338207496
83,31.7751289765
83.5,31.8914929979
84,31.9651787275
84.5,31.9990840777
85,32.0610144681
85.5,32.127392002
86,32.1583765921
86.5,32.161327786
87,32.1569010135
87.5,32.1406704541
88,32.0890375525
88.5,32.0447925625
89,31.9681267698
89.5,31.8752860725
90,31.7810190942
90.5,31.6971021605
91,31.6176358131
91.5,31.6323493358
92,31.7000459891
92.5,31.7824916523
93,31.8752860725
93.5,31.9710748594
94,32.0757629175
94.5,32.1554254471
95,32.2115055816
95.5,32.2749861475
96,32.3266733549
96.5,32.3621248885
97,32.3768985038
97.5,32.3931509416
98,32.4049718599
98.5,32.4167935912
99,32.4300940127
99.5,32.4389615342
100,32.4315719011
100.5,32.4123603466
101,32.4020165542
101.5,32.4640886771
102,32.5838632587
102.5,32.7259293921
103,32.8414485418
103.5,32.9362950938
104,33.0222984489
104.5,33.0964768722
105,33.1469382871
105.5,33.2078106353
106,33.2389984554
106.5,33.2731638159
107,33.290992251
107.5,33.3132807264
108,33.3207109436
108.5,33.3311138582
109,33.3504354496
109.5,33.3786791369
110,33.3861125643
110.5,33.3980068111
111,33.4099019979
111.5,33.4336951981
112,33.4619545327
112.5,33.4872437344
113,33.5363468186
113.5,33.5929099646
114,33.6360912213
114.5,33.6718370797
115,33.6897132991
115.5,33.6941826975
116,33.6912030833
116.5,33.6941826975
117,33.7031219073
117.5,33.7180218153
118,33.7314330438
118.5,33.7597497271
119,33.7925444229
119.5,33.8626309763
120,33.958123574
120.5,34.0775805837
121,34.1836847874
121.5,34.2779023153
122,34.3691911468
