"Latest: Time (s)","Latest: Temperature (°C)"
0,18.2711130401
0.5,18.2696247089
1,18.2711130401
1.5,18.2740896548
2,18.2859954811
2.5,18.2919480148
3,18.2993883269
3.5,18.3127798953
4,18.3395592105
4.5,18.349972016
5,18.3633587822
5.5,18.3812058363
6,18.3886414466
6.5,18.3707953277
7,18.3395592105
7.5,18.297900296
8,18.2755779385
8.5,18.2577174892
9,18.2264562008
9.5,18.2071004532
10,18.1966770089
10.5,18.1922095783
11,18.1832742844
11.5,18.1788064208
12,18.1788064208
12.5,18.1788064208
13,18.1773171009
13.5,18.1773171009
14,18.1758277649
14.5,18.1773171009
15,18.1758277649
15.5,18.1743384128
16,18.1773171009
16.5,18.1817850126
17,18.1788064208
17.5,18.1802957247
18,18.1847635401
18.5,18.1817850126
19,18.1862527798
19.5,18.1892312111
20,18.1847635401
20.5,18.1877420035
21,18.1922095783
21.5,18.1951878814
22,18.1951878814
22.5,18.1966770089
23,18.1981661204
23.5,18.1981661204
24,18.1981661204
24.5,18.1996552158
25,18.2011442953
25.5,18.2071004532
26,18.2100784362
26.5,18.2145452909
27,18.2145452909
27.5,18.2175231141
28,18.2205008735
28.5,18.2205008735
29,18.2219897292
29.5,18.223478569
30,18.2264562008
30.5,18.2294337687
31,18.2339000012
31.5,18.2368774098
32,18.2413434034
32.5,18.2428320362
33,18.2517634986
33.5,18.2502749613
34,18.2517634986
34.5,18.2547405257
35,18.2592059472
35.5,18.2606943893
36,18.2636712259
36.5,18.2666479991
37,18.2711130401
37.5,18.2711130401
38,18.2770662063
38.5,18.2785544583
39,18.2830191194
39.5,18.2859954811
40,18.2830191194
40.5,18.2785544583
41,18.2711130401
41.5,18.2666479991
42,18.2636712259
42.5,18.2666479991
43,18.2681363619
43.5,18.2696247089
44,18.2785544583
44.5,18.2874836382
45,18.2919480148
45.5,18.2934361088
46,18.297900296
46.5,18.3023643413
47,18.3038523248
47.5,18.3098041015
48,18.3202191046
48.5,18.3276579208
49,18.3321210221
49.5,18.3365839822
50,18.3425343761
50.5,18.3529469624
51,18.3574092646
51.5,18.3678207563
52,18.3856672492
52.5,18.4064853252
53,18.4302736888
53.5,18.4570308679
54,18.4659488181
54.5,18.4867552173
55,18.5031009945
55.5,18.5253877105
56,18.5432146146
56.5,18.5536126313
57,18.5610393309
57.5,18.5773767374
58,18.5907423459
58.5,18.6041067328
59,18.624893357
59.5,18.6456770408
60,18.6516146975
60.5,18.6664577938
61,18.6768470743
61.5,18.6857515915
62,18.7050428779
62.5,18.7154294561
63,18.7198806249
63.5,18.7287825635
64,18.7406509886
64.5,18.7421344754
65,18.7480682754
65.5,18.7658682638
66,18.7806999732
66.5,18.7984960926
67,18.8207382868
67.5,18.8340820318
68,18.8400122076
68.5,18.8489070363
69,18.8414947152
